id,model_name,Model,Distribution,Link,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,n_divergent,max_time
19,fit_14c,"t2(length, cyear, k = c(10, 26)) + s(lat, long)",cumulative,logit,0,0,-27244.417270600046,140.43978645539542,157.69461219753595,4.512444363207333,54488.83454120009,280.87957291079084,0,13:48:20
4,full_4c,"t2(length, cyear, k = c(3, 26)) + origin + month + s(lat, long)",cumulative,logit,-471.9404836636541,36.25544499311547,-27716.357754263696,138.94708125547925,119.69336769087678,2.717821094116242,55432.71550852739,277.8941625109585,1,06:32:15
2,full_2c,"t2(length, cyear, k = c(3, 26)) + origin + month + t2(lat, long)",cumulative,logit,-472.1094630584349,36.6644148139604,-27716.526733658466,138.99231596200283,111.70091909445729,2.668356190203935,55433.05346731693,277.98463192400567,0,06:58:18
16,fit_11c,"t2(length, cyear, k = c(3, 26)) + month + t2(lat, long)",cumulative,logit,-474.6056088312675,36.51953731421694,-27719.022879431323,138.9265377213162,108.84884008006783,2.612167055838214,55438.045758862645,277.8530754426324,2,07:05:17
18,fit_13c,"t2(length, cyear, k = c(3, 26)) + s(lat, long)",cumulative,logit,-493.8981725264228,35.703039124670994,-27738.315443126627,139.21315152961535,116.38602538440263,2.6937688245721656,55476.63088625325,278.4263030592307,0,06:51:13
20,fit_15c,"t2(length, cyear, k = c(3, 26)) + s(lat, long, bs = ""gp"")",cumulative,logit,-494.6711630642043,35.80673681688853,-27739.088433664394,139.28299559439995,112.07611440675306,2.7059094059720263,55478.17686732879,278.5659911887999,0,07:45:10
17,fit_12c,"t2(length, cyear, k = c(3, 26)) + t2(lat, long)",cumulative,logit,-498.4043257994982,35.98776360336391,-27742.821596399364,139.29366803666042,107.71853451747803,2.6429874792330823,55485.64319279873,278.58733607332084,0,06:37:49
13,fit_8c,"t2(length, cyear, k = c(3, 26))",cumulative,logit,-551.6527364012528,37.22914154665923,-27796.07000700112,139.9772102635272,99.21786434061998,2.533615193856181,55592.14001400224,279.9544205270544,0,05:39:48
14,fit_9c,"s(length, k = 3, by = fyear) + month + s(lat, long)",cumulative,logit,-1518.0766537839172,57.50646866750382,-28762.493924384307,134.94997226140012,112.27674950177155,2.8859294594225617,57524.987848768615,269.89994452280024,0,06:45:42
1,full_1c,"s(length, cyear, k = c(3, 26)) + origin + month + s(lat, long)",cumulative,logit,-1522.359439565459,58.57538914150088,-28766.77671016568,131.3750099849451,54.2677965383177,1.6085352049193147,57533.55342033136,262.7500199698902,1,02:49:16
3,full_3c,"s(length, cyear, k = c(3, 26)) + origin + month + t2(lat, long)",cumulative,logit,-1538.1963574740275,58.95130351358866,-28782.61362807414,131.3337443179283,41.710800104096904,1.448820661317857,57565.22725614828,262.6674886358566,2,03:08:56
15,fit_10c,"s(length, k = 3, by = fyear) + month + t2(lat, long)",cumulative,logit,-1544.0912084264808,58.20097379249341,-28788.508479026816,135.07133351812539,110.41705751177132,3.0613018371299137,57577.01695805363,270.14266703625077,126,13:16:37
12,fit_7c,"s(length, cyear, k = c(3, 26))",cumulative,logit,-1616.2508957661153,60.18826974935955,-28860.66816636605,131.4313548617451,29.60442096509788,1.3671902468337616,57721.3363327321,262.8627097234902,0,02:00:04
11,fit_6c,"s(length, k = 3, by = fyear)",cumulative,logit,-1619.2784662545412,59.55999523641629,-28863.69573685442,135.39756199934476,88.51960891008237,2.6909034314866287,57727.39147370884,270.7951239986895,0,05:13:06
6,fit_1c,s(length),cumulative,logit,-1873.90292823039,64.37943331098616,-29118.320198830406,130.55150605189291,34.13328248897179,1.4001138266263111,58236.64039766081,261.10301210378583,0,02:57:54
8,fit_3c,"s(length, bs = ""cr"")",cumulative,logit,-1875.1738680145827,64.44594573423487,-29119.591138614906,130.59188010143365,34.42359556937723,1.4287037393183677,58239.18227722981,261.1837602028673,0,02:01:46
9,fit_4c,t2(length),cumulative,logit,-1880.2488285549287,64.3102088373709,-29124.666099155176,130.59570017432523,30.587730881503532,1.3989879083211345,58249.33219831035,261.19140034865046,0,03:27:50
10,fit_5c,"t2(length, bs = ""ts"")",cumulative,logit,-1882.7393669856606,64.60009196597906,-29127.15663758488,130.84345853456355,30.839563965400796,1.3523446532140706,58254.31327516976,261.6869170691271,0,03:08:37
21,fit_2cv,"s(length, k = 3)",cumulative,logit,-1990.4651353423776,65.82766165835383,-29234.88240594245,130.22662666830922,29.123412170586555,1.3819876143771108,58469.7648118849,260.45325333661845,0,02:35:36
7,fit_2c,"s(length, k = 3)",cumulative,logit,-2036.0120835171574,65.82901813579096,-29280.429354117216,130.8717427694713,28.399317110532007,1.3657856187795576,58560.85870823443,261.7434855389426,0,02:46:49
23,fit_2s,"s(length, k = 3)",sratio,logit,-3106.188572172762,82.6630031529278,-30350.605842773068,138.9323495405521,31.309022526765098,1.6036263923548426,60701.211685546135,277.8646990811042,1,12:36:58
22,fit_2r,"s(length, k = 3)",cratio,logit,-3106.5616207281805,82.6555444225434,-30350.97889132775,138.93199928325222,31.715320597540824,1.6368428666835833,60701.9577826555,277.86399856650445,0,10:35:04
5,fit_0c,length,cumulative,logit,-3433.9838698294875,74.47788619129942,-30678.40114042895,132.76592952109644,27.652662936868122,1.3434409259611113,61356.8022808579,265.5318590421929,0,00:21:23
